topic_num,top_words,coded_theme_reviewer1,coded_theme_reviewer2,coded_theme_reviewer3,combined_theme
Topic_0,"feel, time, way, help, information, meeting, community, penn, barrier, develop, long, experience, helpful, attend, connection, pay, patient, relax, anonymity, course",,,,
Topic_1,"make, time, emotion, tip, attend, improve, want, positive, sense, practical, prior, brown, slide, anxiety, work, improvement, engaging, session, presenter, new",,,,
Topic_2,"life, work, time, way, deal, cope, anxiety, stress, balance, people, worry, available, manage, get, basic, less, care, die, year, focus",,,,
Topic_3,"people, talk, make, deal, time, break, find, personal, mindfulness, change, grief, look, acceptance, back, keep, year, still, note, provide, last",,,,
Topic_4,"sleep, thought, night, tip, time, long, thrive, alone, wake, accessible, participate, connect, meet, communication, aspect, attach, easily, hard, find, wellfocuse",,,,
Topic_5,"session, topic, always, say, time, interested, boundary, helpful, bit, discuss, think, short, emotion, maybe, good, long, great, family, none, run",,,,
Topic_6,"people, excuse, plan, make, life, work, need, self, help, topic, school, family, connect, involve, specific, stop, person, recognize, grief, provide",,,,
Topic_7,"self, anxiety, stress, issue, loss, time, grief, depression, keep, access, change, slide, share, boundary, need, see, available, learn, other, habit",,,,
Topic_8,"stress, session, want, learn, anxiety, cope, caregiver, recent, mom, help, look, issue, way, thing, self, time, topic, meditation, give, present",,,,
Topic_9,"work, life, time, topic, habit, sleep, balance, say, understand, interest, tip, matter, attend, option, year, feel, learn, other, presentation, example",,,,
Topic_10,"change, work, help, session, time, need, stress, look, post, step, ask, strategy, life, compassion, burn, link, cobalt, find, use, advice",,,,
Topic_11,"stress, work, think, management, way, time, find, want, relationship, join, define, unfinished, like, value, identify, avenue, go, business, topic, relevant",,,,
Topic_12,"stress, cope, learn, tip, tool, grief, think, time, minimize, anxiety, listen, presentation, technique, holiday, helpful, feel, know, stop, help, communication",,,,
Topic_13,"parenting, relevant, knowledge, belief, decision, chronic, support, learn, effective, single, tip, mother, communication, care, new, make, family, need, love, grief",,,,
Topic_14,"well, topic, life, personal, offer, care, family, long, grief, new, step, interesting, skill, make, conversation, work, health, learn, navigate, session",,,,
Topic_15,"topic, relate, strategy, time, work, session, interaction, new, see, improve, recommendation, personal, life, give, tip, good, relevant, perspective, need, help",,,,
Topic_16,"time, recommendation, session, need, self, information, communicate, way, know, long, topic, work, stress, think, new, life, make, care, calendar, love",,,,
Topic_17,"feel, find, go, hear, social, distance, hangout, event, toxic, information, reminder, assessement, suggest, trauma, end, old, last, friendship, get, grief",,,,
Topic_18,"get, sleep, volunteer, topic, stress, good, think, strategy, discuss, want, community, cope, issue, already, skill, need, loss, recent, family, inspiration",,,,
Topic_19,"topic, time, help, anxiety, learn, suggestion, loss, tip, know, skill, minute, always, self, long, sleep, deal, want, plan, need, seek",,,,
