topic_num,top_words,coded_theme_reviewer1,coded_theme_reviewer2,coded_theme_reviewer3,combined_theme
Topic_0,"session, make, information, nothing, longer, dr, recommendations, helpful, new, wanted, dealing, always, time, offered, resources",,,,
Topic_1,"time, self, nothing, looking, advice, us, learn, resources, people, work, short, anxiety, excellent, friend, sessions",,,,
Topic_2,"nothing, work, session, time, anxiety, stress, cobalt, link, help, one, tips, needs, balance, family, would",,,,
Topic_3,"nothing, anxiety, tips, strategies, year, helpful, learning, life, stress, time, new, day, specific, work, wanted",,,,
Topic_4,"time, grief, self, nothing, past, ive, dr, longer, everything, anxiety, presented, lily_brown, stress, depression, yes",,,,
Topic_5,"stress, life, mindfulness, work, balance, time, meeting, personal, habits, skills, would, volunteer, sleep, perhaps, something",,,,
Topic_6,"work, time, caregiver, stress, nothing, coping, ways, helpful, im, recommendations, going, family, mom, join, finding",,,,
Topic_7,"time, self, good, recommendations, find, care, always, understand, better, know, make, im, tips, techniques, like",,,,
Topic_8,"nothing, time, sleep, stress, help, feel, loss, information, like, people, different, grief, specific, work, relationships",,,,
Topic_9,"nothing, family, grief, deal, help, life, holidays, learn, anxiety, loss, work, community, change, session, presentation",,,,
